,age,education-num,hours-per-week,income,Count
89,30,10,40-99,<=50K.,53
90,30,10,40-99,>50K,26
91,30,10,40-99,>50K.,12
92,31,10,40-80,<=50K,125
93,31,10,40-80,<=50K.,66
94,31,10,40-80,>50K,29
95,31,10,40-80,>50K.,19
96,34,10,40-99,<=50K,103
97,34,10,40-99,<=50K.,42
98,34,10,40-99,>50K,54
99,34,10,40-99,>50K.,15
100,35-36,10,40-92,<=50K,224
101,35-36,10,40-92,<=50K.,111
102,35-36,10,40-92,>50K,67
103,35-36,10,40-92,>50K.,47
104,30,11-12,40-65,<=50K,56
105,30,11-12,40-65,<=50K.,29
106,30,11-12,40-65,>50K,12
107,30,11-12,40-65,>50K.,2
108,33-34,11-12,40-99,<=50K,118
109,33-34,11-12,40-99,<=50K.,44
110,33-34,11-12,40-99,>50K,29
111,33-34,11-12,40-99,>50K.,17
112,35-36,11-12,40-99,<=50K,91
113,35-36,11-12,40-99,<=50K.,50
114,35-36,11-12,40-99,>50K,46
115,35-36,11-12,40-99,>50K.,26
116,38,9,40-99,<=50K,171
117,38,9,40-99,<=50K.,105
118,38,9,40-99,>50K,44
119,38,9,40-99,>50K.,26
120,39-40,9,40-99,<=50K,325
121,39-40,9,40-99,<=50K.,177
122,39-40,9,40-99,>50K,103
123,39-40,9,40-99,>50K.,63
124,41,9,40-99,<=50K,188
125,41,9,40-99,<=50K.,93
126,41,9,40-99,>50K,48
127,41,9,40-99,>50K.,26
128,42-43,9,40-99,<=50K,310
129,42-43,9,40-99,<=50K.,119
130,42-43,9,40-99,>50K,87
131,42-43,9,40-99,>50K.,50
132,48,9,40-99,<=50K,98
133,48,9,40-99,<=50K.,44
134,48,9,40-99,>50K,39
135,48,9,40-99,>50K.,15
136,51,9,40-99,<=50K,134
137,51,9,40-99,<=50K.,60
138,51,9,40-99,>50K,54
139,51,9,40-99,>50K.,28
140,55,9,40-81,<=50K,88
141,55,9,40-81,<=50K.,43
142,55,9,40-81,>50K,33
143,55,9,40-81,>50K.,14
144,38,10-12,40-80,<=50K,154
145,38,10-12,40-80,<=50K.,84
146,38,10-12,40-80,>50K,65
147,38,10-12,40-80,>50K.,33
148,43,10-12,40-99,<=50K,131
149,43,10-12,40-99,<=50K.,55
150,43,10-12,40-99,>50K,62
151,43,10-12,40-99,>50K.,34
152,44-45,10-12,40-99,<=50K,238
153,44-45,10-12,40-99,<=50K.,124
154,44-45,10-12,40-99,>50K,139
155,44-45,10-12,40-99,>50K.,63
156,46-47,10-11,40,<=50K,136
157,46-47,10-11,40,<=50K.,49
158,46-47,10-11,40,>50K,64
159,46-47,10-11,40,>50K.,30
160,52-53,10-12,40-99,<=50K,117
161,52-53,10-12,40-99,<=50K.,62
162,52-53,10-12,40-99,>50K,85
163,52-53,10-12,40-99,>50K.,41
164,17-35,6,15-18,<=50K,28
165,17-35,6,15-18,<=50K.,21
166,17-36,6,20-24,<=50K,48
167,17-36,6,20-24,<=50K.,18
168,17,7-8,15,<=50K,27
169,17,7-8,15,<=50K.,15
170,17,7-8,16-19,<=50K,29
171,17,7-8,16-19,<=50K.,15
172,18,7-8,20-21,<=50K,58
173,18,7-8,20-21,<=50K.,28
174,17-19,9,14,<=50K,2
175,17-19,9,14,<=50K.,1
176,17,9,20,<=50K,3
177,17,9,20,<=50K.,1
178,18,9,20-28,<=50K,56
179,18,9,20-28,<=50K.,24
180,19-20,9,30,<=50K,63
181,19-20,9,30,<=50K.,17
182,21-22,9,30-34,<=50K,25
183,21-22,9,30-34,<=50K.,17
184,21-22,9,35-39,<=50K,53
185,21-22,9,35-39,<=50K.,27
186,17,6,40,<=50K,20
187,17,6,40,<=50K.,7
188,27,6,40-75,<=50K,15
189,27,6,40-75,<=50K.,8
190,31-32,6,40-99,<=50K,34
191,31-32,6,40-99,<=50K.,14
192,31-32,6,40-99,>50K,3
193,31-32,6,40-99,>50K.,1
194,32-33,7-8,40-80,<=50K,49
195,32-33,7-8,40-80,<=50K.,34
196,32-33,7-8,40-80,>50K,4
197,32-33,7-8,40-80,>50K.,5
198,17,9,40,<=50K,3
199,17,9,40,<=50K.,1
200,18,9,40-64,<=50K,47
201,18,9,40-64,<=50K.,31
202,19,9,40-78,<=50K,125
203,19,9,40-78,<=50K.,55
204,20,9,40-84,<=50K,146
205,20,9,40-84,<=50K.,74
206,22,9,40-80,<=50K,174
207,22,9,40-80,<=50K.,85
208,22,9,40-80,>50K,2
209,22,9,40-80,>50K.,1
210,23,9,40-96,<=50K,191
211,23,9,40-96,<=50K.,95
212,23,9,40-96,>50K,1
213,23,9,40-96,>50K.,3
214,27,9,40-99,<=50K,208
215,27,9,40-99,<=50K.,98
216,27,9,40-99,>50K,20
217,27,9,40-99,>50K.,13
218,28,9,40-70,<=50K,224
219,28,9,40-70,<=50K.,99
220,28,9,40-70,>50K,17
221,28,9,40-70,>50K.,12
222,20-21,10-12,10-12,<=50K,59
223,20-21,10-12,10-12,<=50K.,20
224,17-18,10,15-16,<=50K,20
225,17-18,10,15-16,<=50K.,12
226,20-21,10,13-14,<=50K,5
227,20-21,10,13-14,<=50K.,1
228,20-21,10-14,15-17,<=50K,59
229,20-21,10-14,15-17,<=50K.,26
230,17-18,10,20-24,<=50K,26
231,17-18,10,20-24,<=50K.,20
232,19,10-11,20-24,<=50K,62
233,19,10-11,20-24,<=50K.,42
234,19,10-11,20-24,>50K.,1
235,22,10,15-18,<=50K,19
236,22,10,15-18,<=50K.,10
237,22,10,15-18,>50K.,1
238,23-24,10,20-24,<=50K,57
239,23-24,10,20-24,<=50K.,26
240,19,10,25-28,<=50K,44
241,19,10,25-28,<=50K.,17
242,20,10-14,25-29,<=50K,41
243,20,10-14,25-29,<=50K.,20
244,22,10-13,25-29,<=50K,32
245,22,10-13,25-29,<=50K.,13
246,22,10-13,25-29,>50K.,1
247,23,10-13,25-28,<=50K,43
248,23,10-13,25-28,<=50K.,16
249,18,10,30,<=50K,14
250,18,10,30,<=50K.,8
251,21,10-13,30,<=50K,39
252,21,10-13,30,<=50K.,21
253,24-25,10-11,34-39,<=50K,31
254,24-25,10-11,34-39,<=50K.,16
255,24-25,10-11,34-39,>50K,1
256,24-25,10-11,34-39,>50K.,1
257,17-18,10,40-60,<=50K,26
258,17-18,10,40-60,<=50K.,19
259,19,10,40-84,<=50K,82
260,19,10,40-84,<=50K.,40
261,26,10,40-78,<=50K,117
262,26,10,40-78,<=50K.,50
263,26,10,40-78,>50K,13
264,26,10,40-78,>50K.,3
265,27,10,40-88,<=50K,125
266,27,10,40-88,<=50K.,72
267,27,10,40-88,>50K,18
268,27,10,40-88,>50K.,1
269,21-22,11-12,40-98,<=50K,52
270,21-22,11-12,40-98,<=50K.,28
271,21-22,11-12,40-98,>50K,2
272,23,11-12,40-70,<=50K,37
273,23,11-12,40-70,<=50K.,21
274,23,11-12,40-70,>50K,1
275,23,11-12,40-70,>50K.,1
276,26,11-12,40-80,<=50K,41
277,26,11-12,40-80,<=50K.,22
278,26,11-12,40-80,>50K,4
279,26,11-12,40-80,>50K.,4
280,27,11-12,40-78,<=50K,54
281,27,11-12,40-78,<=50K.,22
282,27,11-12,40-78,>50K,6
283,27,11-12,40-78,>50K.,5
284,28,11-12,40-80,<=50K,50
285,28,11-12,40-80,<=50K.,29
286,28,11-12,40-80,>50K,11
287,28,11-12,40-80,>50K.,5
288,29,11-12,40-90,<=50K,66
289,29,11-12,40-90,<=50K.,34
290,29,11-12,40-90,>50K,17
291,29,11-12,40-90,>50K.,5
292,32,11-12,40-99,<=50K,55
293,32,11-12,40-99,<=50K.,22
294,32,11-12,40-99,>50K,18
295,32,11-12,40-99,>50K.,10
296,23,13-14,40-70,<=50K,118
297,23,13-14,40-70,<=50K.,58
298,23,13-14,40-70,>50K,4
299,23,13-14,40-70,>50K.,2
300,24,13-16,40-99,<=50K,146
301,24,13-16,40-99,<=50K.,73
302,24,13-16,40-99,>50K,7
303,24,13-16,40-99,>50K.,4
304,25,13-15,40-99,<=50K,155
305,25,13-15,40-99,<=50K.,73
306,25,13-15,40-99,>50K,18
307,25,13-15,40-99,>50K.,8
308,26,13-15,40-90,<=50K,147
309,26,13-15,40-90,<=50K.,72
310,26,13-15,40-90,>50K,31
311,26,13-15,40-90,>50K.,10
312,27,13-16,40-99,<=50K,159
313,27,13-16,40-99,<=50K.,70
314,27,13-16,40-99,>50K,32
315,27,13-16,40-99,>50K.,12
316,30,13-16,40-43,<=50K,69
317,30,13-16,40-43,<=50K.,39
318,30,13-16,40-43,>50K,33
319,30,13-16,40-43,>50K.,23
320,31-32,13-16,40-43,<=50K,130
321,31-32,13-16,40-43,<=50K.,58
322,31-32,13-16,40-43,>50K,70
323,31-32,13-16,40-43,>50K.,35
324,33-34,13-16,40-43,<=50K,106
325,33-34,13-16,40-43,<=50K.,74
326,33-34,13-16,40-43,>50K,74
327,33-34,13-16,40-43,>50K.,37
328,39-45,1-4,8-12,<=50K,4
329,39-45,1-4,8-12,<=50K.,3
330,47-54,1-2,12-25,<=50K,1
331,47-54,1-2,12-25,<=50K.,4
332,39-40,6,40-70,<=50K,24
333,39-40,6,40-70,<=50K.,14
334,39-40,6,40-70,>50K,4
335,39-40,6,40-70,>50K.,1
336,37,7-8,40-65,<=50K,17
337,37,7-8,40-65,<=50K.,11
338,37,7-8,40-65,>50K,4
339,44,9,40-96,<=50K,122
340,44,9,40-96,<=50K.,55
341,44,9,40-96,>50K,42
342,44,9,40-96,>50K.,19
343,45,9,40-90,<=50K,132
344,45,9,40-90,<=50K.,55
345,45,9,40-90,>50K,51
346,45,9,40-90,>50K.,19
347,46,9,40-96,<=50K,124
348,46,9,40-96,<=50K.,59
349,46,9,40-96,>50K,47
350,46,9,40-96,>50K.,25
351,47,9,40-90,<=50K,126
352,47,9,40-90,<=50K.,72
353,47,9,40-90,>50K,70
354,47,9,40-90,>50K.,29
355,49,9,40-98,<=50K,115
356,49,9,40-98,<=50K.,63
357,49,9,40-98,>50K,42
358,49,9,40-98,>50K.,22
359,50,9,40-84,<=50K,112
360,50,9,40-84,<=50K.,52
361,50,9,40-84,>50K,69
362,50,9,40-84,>50K.,25
363,52,9,40-99,<=50K,89
364,52,9,40-99,<=50K.,59
365,52,9,40-99,>50K,48
366,52,9,40-99,>50K.,29
367,53-54,9,40-99,<=50K,146
368,53-54,9,40-99,<=50K.,95
369,53-54,9,40-99,>50K,89
370,53-54,9,40-99,>50K.,46
371,56,9,40-90,<=50K,75
372,56,9,40-90,<=50K.,46
373,56,9,40-90,>50K,22
374,56,9,40-90,>50K.,15
375,59,9,40-80,<=50K,63
376,59,9,40-80,<=50K.,41
377,59,9,40-80,>50K,34
378,59,9,40-80,>50K.,14
379,37-38,10-11,30-32,<=50K,16
380,37-38,10-11,30-32,<=50K.,8
381,37-38,10-11,30-32,>50K.,1
382,42-44,10-11,30-33,<=50K,14
383,42-44,10-11,30-33,<=50K.,9
384,42-44,10-11,30-33,>50K,3
385,42-44,10-11,30-33,>50K.,1
386,37-41,12,2-16,<=50K,2
387,37-41,12,2-16,<=50K.,1
388,37-41,12,2-16,>50K,1
389,38-43,12,20-21,<=50K,1
390,38-43,12,20-21,<=50K.,3
391,38-43,12,20-21,>50K,1
392,38-43,12,20-21,>50K.,2
393,43-44,13-16,33-39,<=50K,19
394,43-44,13-16,33-39,<=50K.,10
395,43-44,13-16,33-39,>50K,18
396,43-44,13-16,33-39,>50K.,7
397,50-61,12,2-8,<=50K,3
398,50-61,12,2-8,>50K,1
399,51-53,12,30-38,<=50K,6
400,51-53,12,30-38,<=50K.,3
401,51-53,12,30-38,>50K,2
402,51-53,12,30-38,>50K.,1
403,39,10-12,40-99,<=50K,133
404,39,10-12,40-99,<=50K.,61
405,39,10-12,40-99,>50K,53
406,39,10-12,40-99,>50K.,43
407,40,10-12,40-84,<=50K,141
408,40,10-12,40-84,<=50K.,55
409,40,10-12,40-84,>50K,84
410,40,10-12,40-84,>50K.,25
411,37,13-16,40-44,<=50K,37
412,37,13-16,40-44,<=50K.,25
413,37,13-16,40-44,>50K,36
414,37,13-16,40-44,>50K.,25
415,38,13-16,40-44,<=50K,47
416,38,13-16,40-44,<=50K.,18
417,38,13-16,40-44,>50K,52
418,38,13-16,40-44,>50K.,24
419,39,13-16,40-44,<=50K,60
420,39,13-16,40-44,<=50K.,24
421,39,13-16,40-44,>50K,42
422,39,13-16,40-44,>50K.,16
423,40,13-16,40-44,<=50K,54
424,40,13-16,40-44,<=50K.,24
425,40,13-16,40-44,>50K,49
426,40,13-16,40-44,>50K.,24
427,41,13-16,40-43,<=50K,59
428,41,13-16,40-43,<=50K.,22
429,41,13-16,40-43,>50K,45
430,41,13-16,40-43,>50K.,25
431,42,13-16,40-44,<=50K,45
432,42,13-16,40-44,<=50K.,21
433,42,13-16,40-44,>50K,56
434,42,13-16,40-44,>50K.,30
435,43,13-16,40-44,<=50K,51
436,43,13-16,40-44,<=50K.,11
437,43,13-16,40-44,>50K,62
438,43,13-16,40-44,>50K.,30
439,44-45,13-16,40-44,<=50K,84
440,44-45,13-16,40-44,<=50K.,50
441,44-45,13-16,40-44,>50K,122
442,44-45,13-16,40-44,>50K.,51
443,37-38,13-16,45-48,<=50K,18
444,37-38,13-16,45-48,<=50K.,16
445,37-38,13-16,45-48,>50K,38
446,37-38,13-16,45-48,>50K.,10
447,39-40,13-16,45-48,<=50K,26
448,39-40,13-16,45-48,<=50K.,6
449,39-40,13-16,45-48,>50K,39
450,39-40,13-16,45-48,>50K.,18
451,48,10-11,40-41,<=50K,43
452,48,10-11,40-41,<=50K.,23
453,48,10-11,40-41,>50K,24
454,48,10-11,40-41,>50K.,19
455,46-47,12,40,<=50K,18
456,46-47,12,40,<=50K.,7
457,46-47,12,40,>50K,10
458,46-47,12,40,>50K.,5
459,46-47,13-16,40-41,<=50K,62
460,46-47,13-16,40-41,<=50K.,47
461,46-47,13-16,40-41,>50K,103
462,46-47,13-16,40-41,>50K.,52
463,54,10-12,40-98,<=50K,54
464,54,10-12,40-98,<=50K.,25
465,54,10-12,40-98,>50K,39
466,54,10-12,40-98,>50K.,12
467,55-56,10-12,40-99,<=50K,75
468,55-56,10-12,40-99,<=50K.,51
469,55-56,10-12,40-99,>50K,60
470,55-56,10-12,40-99,>50K.,26
471,52-53,13-16,40,<=50K,43
472,52-53,13-16,40,<=50K.,26
473,52-53,13-16,40,>50K,60
474,52-53,13-16,40,>50K.,34
475,57,10-12,40-90,<=50K,46
476,57,10-12,40-90,<=50K.,26
477,57,10-12,40-90,>50K,24
478,57,10-12,40-90,>50K.,13
479,22-25,1-2,5-24,<=50K,4
480,22-25,1-2,5-24,<=50K.,1
481,17,5,20-24,<=50K,8
482,17,5,20-24,<=50K.,2
483,17-35,6,2-5,<=50K,5
484,17-35,6,2-5,<=50K.,4
485,17-23,6,10,<=50K,14
486,17-23,6,10,<=50K.,6
487,17-29,6,11-14,<=50K,16
488,17-29,6,11-14,<=50K.,5
489,20-25,1-2,25-32,<=50K,4
490,20-25,1-2,25-32,<=50K.,1
491,19-25,1-2,35-36,<=50K,5
492,19-25,1-2,35-36,<=50K.,1
493,17-20,5,25-28,<=50K,5
494,17-21,6,25-28,<=50K,16
495,17-21,6,25-28,<=50K.,7
496,17,7-8,8-9,<=50K,10
497,17,7-8,8-9,<=50K.,4
498,17,7-8,10,<=50K,10
499,17,7-8,10,<=50K.,7
500,17,7-8,12-14,<=50K,20
501,17,7-8,12-14,<=50K.,7
502,18-20,7-8,10,<=50K,11
503,18-20,7-8,10,<=50K.,8
504,18-36,7-8,12-13,<=50K,16
505,18-36,7-8,12-13,<=50K.,8
506,17-20,9,2-5,<=50K,3
507,17-20,9,2-5,<=50K.,4
508,18-20,9,11-13,<=50K,11
509,18-20,9,11-13,<=50K.,4
510,17-18,9,15-19,<=50K,6
511,17-18,9,15-19,<=50K.,13
512,19-20,9,15-18,<=50K,16
513,19-20,9,15-18,<=50K.,7
514,19,9,20,<=50K,25
515,19,9,20,<=50K.,15
516,20-21,9,20-22,<=50K,25
517,20-21,9,20-22,<=50K.,16
518,19-21,9,25-28,<=50K,44
519,19-21,9,25-28,<=50K.,21
520,22,9,20-22,<=50K,15
521,22,9,20-22,<=50K.,8
522,19-20,9,35-38,<=50K,41
523,19-20,9,35-38,<=50K.,30
524,23,9,30-33,<=50K,18
525,23,9,30-33,<=50K.,5
526,24-25,9,30-34,<=50K,34
527,24-25,9,30-34,<=50K.,8
528,23,9,35-38,<=50K,14
529,23,9,35-38,<=50K.,14
530,26,9,30-32,<=50K,8
531,26,9,30-32,<=50K.,4
532,28,9,30-32,<=50K,11
533,28,9,30-32,<=50K.,2
534,29-30,9,30-34,<=50K,22
535,29-30,9,30-34,<=50K.,18
536,29-30,9,30-34,>50K,1
537,28,9,35-39,<=50K,18
538,28,9,35-39,<=50K.,11
539,28,9,35-39,>50K.,2
540,29-30,9,35-38,<=50K,37
541,29-30,9,35-38,<=50K.,20
542,29-30,9,35-38,>50K,1
543,29-30,9,35-38,>50K.,2
544,31,9,30-34,<=50K,10
545,31,9,30-34,<=50K.,7
546,34,9,30-33,<=50K,14
547,34,9,30-33,<=50K.,3
548,31,9,35-38,<=50K,18
549,31,9,35-38,<=50K.,12
550,31,9,35-38,>50K,1
551,34,9,35-39,<=50K,19
552,34,9,35-39,<=50K.,12
553,34,9,35-39,>50K,2
554,34,9,35-39,>50K.,2
555,19-23,1,40-50,<=50K,3
556,19-23,1,40-50,<=50K.,3
557,24,1-2,40-66,<=50K,3
558,24,1-2,40-66,<=50K.,2
559,25-27,1-2,40-96,<=50K,6
560,25-27,1-2,40-96,<=50K.,4
561,24-25,3,40-60,<=50K,10
562,24-25,3,40-60,<=50K.,5
563,29-30,1,40,<=50K,1
564,29-30,1,40,<=50K.,2
565,32-36,1,40-72,<=50K,5
566,32-36,1,40-72,<=50K.,1
567,28,3,40-52,<=50K,5
568,28,3,40-52,<=50K.,4
569,32,3,40-60,<=50K,7
570,32,3,40-60,<=50K.,4
571,32,3,40-60,>50K,1
572,32,3,40-60,>50K.,1
573,25-27,5,40-50,<=50K,26
574,25-27,5,40-50,<=50K.,8
575,28-29,4,40-99,<=50K,20
576,28-29,4,40-99,<=50K.,5
577,28-29,4,40-99,>50K.,1
578,28-29,5,40-52,<=50K,16
579,28-29,5,40-52,<=50K.,5
580,28-29,5,40-52,>50K,2
581,18,6,40-56,<=50K,12
582,18,6,40-56,<=50K.,8
583,22,6,40-84,<=50K,11
584,22,6,40-84,<=50K.,8
585,23,6,40-60,<=50K,16
586,23,6,40-60,<=50K.,9
587,17,7-8,40-50,<=50K,20
588,17,7-8,40-50,<=50K.,11
589,18,7-8,40-72,<=50K,30
590,18,7-8,40-72,<=50K.,17
591,19,7-8,40-60,<=50K,25
592,19,7-8,40-60,<=50K.,11
593,19,7-8,40-60,>50K,1
594,20-21,7-8,40-60,<=50K,42
595,20-21,7-8,40-60,<=50K.,17
596,22,7-8,40-70,<=50K,19
597,22,7-8,40-70,<=50K.,12
598,22,7-8,40-70,>50K,2
599,23,7-8,40-60,<=50K,23
600,23,7-8,40-60,<=50K.,10
601,23,7-8,40-60,>50K,2
602,24,7-8,40-65,<=50K,26
603,24,7-8,40-65,<=50K.,12
604,24,7-8,40-65,>50K,1
605,24,7-8,40-65,>50K.,1
606,25-26,7-8,40-99,<=50K,55
607,25-26,7-8,40-99,<=50K.,31
608,25-26,7-8,40-99,>50K,3
609,25-26,7-8,40-99,>50K.,1
610,28,6,40-80,<=50K,26
611,28,6,40-80,<=50K.,3
612,29-30,6,40-80,<=50K,26
613,29-30,6,40-80,<=50K.,12
614,29-30,6,40-80,>50K.,1
615,33,6,40-80,<=50K,17
616,33,6,40-80,<=50K.,8
617,27,7-8,40-60,<=50K,23
618,27,7-8,40-60,<=50K.,14
619,27,7-8,40-60,>50K,1
620,27,7-8,40-60,>50K.,1
621,28,7-8,40-60,<=50K,30
622,28,7-8,40-60,<=50K.,10
623,28,7-8,40-60,>50K,4
624,29,7-8,40-99,<=50K,19
625,29,7-8,40-99,<=50K.,21
626,29,7-8,40-99,>50K,1
627,29,7-8,40-99,>50K.,1
628,30-31,7-8,40-75,<=50K,55
629,30-31,7-8,40-75,<=50K.,25
630,30-31,7-8,40-75,>50K,2
631,30-31,7-8,40-75,>50K.,2
632,34,7-8,40-84,<=50K,29
633,34,7-8,40-84,<=50K.,13
634,34,7-8,40-84,>50K.,1
635,18-19,10,8-9,<=50K,5
636,18-19,10,8-9,<=50K.,2
637,18,10,10-12,<=50K,5
638,18,10,10-12,<=50K.,6
639,19,10,10-12,<=50K,25
640,19,10,10-12,<=50K.,10
641,19,10,14,<=50K,3
642,19,10,14,<=50K.,1
643,19,10-11,15-16,<=50K,39
644,19,10-11,15-16,<=50K.,10
645,22,10,10-13,<=50K,13
646,22,10,10-13,<=50K.,8
647,23-25,10,15-19,<=50K,25
648,23-25,10,15-19,<=50K.,9
649,24-25,13-15,20-24,<=50K,27
650,24-25,13-15,20-24,<=50K.,17
651,24-25,13-15,20-24,>50K.,1
652,19,10-13,30,<=50K,37
653,19,10-13,30,<=50K.,21
654,20,10-13,30,<=50K,42
655,20,10-13,30,<=50K.,25
656,22,10-13,30,<=50K,40
657,22,10-13,30,<=50K.,20
658,20,10-12,32-33,<=50K,7
659,20,10-12,32-33,<=50K.,5
660,21,10-12,32,<=50K,4
661,21,10-12,32,<=50K.,1
662,20,10-11,35-38,<=50K,37
663,20,10-11,35-38,<=50K.,18
664,21,10-13,35-38,<=50K,34
665,21,10-13,35-38,<=50K.,27
666,22-23,10-14,35-39,<=50K,77
667,22-23,10-14,35-39,<=50K.,52
668,24-25,10-11,30-33,<=50K,21
669,24-25,10-11,30-33,<=50K.,15
670,24-25,10-11,30-33,>50K,2
671,29,10-11,35-38,<=50K,13
672,29,10-11,35-38,<=50K.,6
673,29,10-11,35-38,>50K,2
674,24-29,12,25-26,<=50K,3
675,24-29,12,25-26,<=50K.,2
676,30-33,12,35-38,<=50K,9
677,30-33,12,35-38,<=50K.,1
678,30-33,12,35-38,>50K,2
679,30-33,12,35-38,>50K.,1
680,19,11-12,40-50,<=50K,3
681,20,11-12,40,<=50K,10
682,20,11-12,40,<=50K.,1
683,24,11-12,40-70,<=50K,36
684,24,11-12,40-70,<=50K.,23
685,24,11-12,40-70,>50K,1
686,24,11-12,40-70,>50K.,2
687,31,11,40-60,<=50K,30
688,31,11,40-60,<=50K.,12
689,31,11,40-60,>50K,4
690,31,11,40-60,>50K.,2
691,31,12,40-60,<=50K,26
692,31,12,40-60,<=50K.,12
693,31,12,40-60,>50K,8
694,31,12,40-60,>50K.,2
695,18-21,13-14,40-60,<=50K,5
696,18-21,13-14,40-60,<=50K.,1
697,18-21,13-14,40-60,>50K.,1
698,22,13,40-60,<=50K,39
699,22,13,40-60,<=50K.,26
700,22,13,40-60,>50K,3
701,28,13-16,40-42,<=50K,70
702,28,13-16,40-42,<=50K.,32
703,28,13-16,40-42,>50K,23
704,28,13-16,40-42,>50K.,9
705,29,13-16,40-42,<=50K,61
706,29,13-16,40-42,<=50K.,44
707,29,13-16,40-42,>50K,25
708,29,13-16,40-42,>50K.,16
709,28-29,13-16,50-99,<=50K,86
710,28-29,13-16,50-99,<=50K.,46
711,28-29,13-16,50-99,>50K,53
712,28-29,13-16,50-99,>50K.,32
713,35,13-16,40-43,<=50K,58
714,35,13-16,40-43,<=50K.,33
715,35,13-16,40-43,>50K,43
716,35,13-16,40-43,>50K.,15
717,36,13-16,40-43,<=50K,57
718,36,13-16,40-43,<=50K.,38
719,36,13-16,40-43,>50K,36
720,36,13-16,40-43,>50K.,33
721,37-43,1-2,30-35,<=50K,2
722,37-43,1-2,30-35,<=50K.,3
723,42-44,4,30-38,<=50K,6
724,42-44,4,30-38,<=50K.,3
725,37-40,5,5-16,<=50K,3
726,37-40,5,5-16,<=50K.,1
727,37,9,30-32,<=50K,13
728,37,9,30-32,<=50K.,1
729,37,9,30-32,>50K,1
730,37,9,35-38,<=50K,12
731,37,9,35-38,<=50K.,11
732,37,9,35-38,>50K,5
733,41-42,9,30-32,<=50K,9
734,41-42,9,30-32,<=50K.,8
735,41-42,9,30-32,>50K,1
736,41-42,9,30-32,>50K.,1
737,46,9,30-33,<=50K,6
738,46,9,30-33,<=50K.,3
739,46,9,30-33,>50K.,1
740,59-65,5,12-20,<=50K,4
741,59-65,5,12-20,<=50K.,1
742,61-65,5,21-25,<=50K,5
743,61-65,5,21-25,<=50K.,1
